Country,Avg Happiness Index,CorpGPDmean,CorpTaxMean,GaSGPDmean,GaSTaxMean,PayrollGPDmean,PayrollTaxMean,PersIncGPDmean,PersIncTaxMean,PropGPDmean,PropTaxMean,SocSecGPDmean,SocSecTaxMean,TaxRevGPDmean,TaxRevPerCapMean,PercentLaborCostMean
Australia,7.313,4.8095,17.3635,7.686,27.7495,1.417,5.116,11.0885,40.02,2.702,9.7505,,,27.7035,17683.781,27.81039567
Austria,7.119,2.178666667,5.073333333,11.692,27.234,2.950666667,6.872333333,10.14233333,23.618,0.635666667,1.481,14.67333333,34.17666667,42.93533333,20923.604,49.40516833
Belgium,6.929,3.238333333,7.205333333,10.76433333,23.94766667,0.002,0.004333333,12.77966667,28.431,3.531,7.855666667,14.293,31.799,44.94866667,20018.52533,55.509131
Canada,7.404,3.234666667,10.316,7.234666667,23.05866667,0.640666667,2.042333333,11.43633333,36.45033333,3.709666667,11.82466667,4.767333333,15.19366667,31.373,15232.23233,31.37146467
Switzerland,7.509,2.886333333,10.58266667,6.083,22.31566667,,,8.474,31.07766667,1.792666667,6.572333333,6.760666667,24.79666667,27.26666667,23087.38233,21.95757967
Chile,6.705,4.505,22.35433333,10.95866667,54.43633333,,,1.445333333,7.18,0.854,4.239666667,1.433,7.118666667,20.134,2938.368667,7
Czech Republic,6.596,3.502666667,10.44566667,11.27466667,33.60466667,,,3.610333333,10.764,0.428666667,1.278,14.567,43.42866667,33.54466667,6403.799,42.60978067
Germany,6.994,1.758,4.797333333,10.12566667,27.63,,,9.669666667,26.383,0.988,2.694666667,13.94233333,38.04333333,36.64966667,16597.00367,49.283275
Denmark,7.526,2.684333333,5.637,15.00966667,31.51633333,0.312333333,0.655,25.895,54.334,1.875,3.937666667,0.075666667,0.158666667,47.66466667,27797.26867,36.37073933
Spain,6.361,2.212666667,6.576,9.617333333,28.57966667,,,7.419,22.051,2.327,6.913333333,11.50633333,34.19733333,33.64833333,9527.065667,40.25528533
Estonia,5.517,1.839666667,5.650666667,13.579,41.76866667,,,5.626333333,17.31,0.293,0.903666667,11.00966667,33.88566667,32.50466667,6121.000667,39.66430267
Finland,7.413,2.153333333,4.915666667,14.362,32.78133333,,,13.16366667,30.043,1.348333333,3.076333333,12.66966667,28.916,43.814,20692.83,43.41609933
Fance,6.478,2.357333333,5.193,10.97,24.15866667,1.584333333,3.489333333,8.512333333,18.74566667,3.920666667,8.634333333,16.878,37.16933333,45.408,19001.784,48.53887767
Great Britain,6.725,2.453,7.581333333,10.68733333,33.03633333,,,8.947333333,27.657,4.05,12.51933333,6.047666667,18.695,32.35066667,14490.52733,31.04124067
